English Name,Translated Name,Description
Pigtail Girl Green Hair,Pigtail Girl Green Hair,Classic Pigtail green Hair Style
Pigtail Girl Light Green Hair,Pigtail Girl Light Green Hair,Classic Pigtail light green Hair Style
Pigtail Girl Orange Hair,Pigtail Girl Orange Hair,Classic Pigtail orange Hair Style
Pigtail Girl Black Hair,Pigtail Girl Black Hair,Classic Pigtail black Hair Style
Starter Spikey Blue Hair,Starter Spikey Blue Hair,Classic starter spikey blue Hair Style
Starter Spikey Yellow Hair,Starter Spikey Yellow Hair,Classic starter spikey yellow Hair Style
Starter Spikey Light Blue Hair,Starter Spikey Light Blue Hair,Classic starter spikey light blue Hair Style
Starter Spikey Light Yellow Hair,Starter Spikey Light Yellow Hair,Classic starter spikey light yellow Hair Style
Starter Spikey Red Hair,Starter Spikey Red Hair,Classic starter spikey red Hair Style
Starter Spikey Light Red Hair,Starter Spikey Light Red Hair,Classic starter spikey light red Hair Style
Starter Spikey Purple Hair,Starter Spikey Purple Hair,Classic starter spikey purple Hair Style
Starter Spikey Light Purple Hair,Starter Spikey Light Purple Hair,Classic starter spikey light purple Hair Style
Starter Spikey Green Hair,Starter Spikey Green Hair,Classic starter spikey green Hair Style
Starter Spikey Light Green Hair,Starter Spikey Light Green Hair,Classic starter spikey light green Hair Style
Starter Spikey Orange Hair,Starter Spikey Orange Hair,Classic starter spikey orange Hair Style
Starter Spikey Black Hair,Starter Spikey Black Hair,Classic starter spikey black Hair Style
Blue Side Pony,Blue Side Pony,Classic Side Pony blue Hair Style
Light Blue Side Pony,Light Blue Side Pony,Classic Side Pony light blue Hair Style
Yellow Side Pony,Yellow Side Pony,Classic Side Pony yellow Hair Style
Light Yellow Side Pony,Light Yellow Side Pony,Classic Side Pony light yellow Hair Style
Red Side Pony,Red Side Pony,Classic Side Pony red Hair Style
Light Red Side Pony,Light Red Side Pony,Classic Side Pony light red Hair Style
Purple Side Pony,Purple Side Pony,Classic Side Pony purple Hair Style
Light Purple Side Pony,Light Purple Side Pony,Classic Side Pony light purple Hair Style
Green Side Pony,Green Side Pony,Classic Side Pony green Hair Style
Light Green Side Pony,Light Green Side Pony,Classic Side Pony light green Hair Style
Orange Side Pony,Orange Side Pony,Classic Side Pony orange Hair Style
Black Side Pony,Black Side Pony,Classic Side Pony black Hair Style
Starter Messy Blue Hair,Starter Messy Blue Hair,Classic starter messy blue Hair Style
Starter Messy Yellow Hair,Starter Messy Yellow Hair,Classic starter messy yellow Hair Style
Starter Messy Light Blue Hair,Starter Messy Light Blue Hair,Classic starter messy light blue Hair Style
Starter Messy Light Yellow Hair,Starter Messy Light Yellow Hair,Classic starter messy light yellow Hair Style
Starter Messy Red Hair,Starter Messy Red Hair,Classic starter messy red Hair Style
Starter Messy Light Red Hair,Starter Messy Light Red Hair,Classic starter messy light red Hair Style
Starter Messy Purple Hair,Starter Messy Purple Hair,Classic starter messy purple Hair Style
Starter Messy Light Purple Hair,Starter Messy Light Purple Hair,Classic starter messy light purple Hair Style
Starter Messy Green Hair,Starter Messy Green Hair,Classic starter messy green Hair Style
Starter Messy Light Green Hair,Starter Messy Light Green Hair,Classic starter messy light green Hair Style
Starter Messy Orange Hair,Starter Messy Orange Hair,Classic starter messy orange Hair Style
Starter Messy Black Hair,Starter Messy Black Hair,Classic starter messy black Hair Style
Storage Box,Storage Box,A special drive that gives the player access to 1 extra PC storage box, with the standard 30 slots.
Yellow Fringe Hair,Yellow Fringe Hair,Yellow Fringe Hair Style
Black Fringe Hair,Black Fringe Hair,Black Fringe Hair Style
7-Days PBO Membership,7-Days PBO Membership,PBO membership for 7 days.Provides 25% Increased Shiny Chance, 10% experience boost, 5% nature sync boost, premium ATMs, travel Discount & Trade Sponsored icon.
14-Days PBO Membership,14-Days PBO Membership,PBO membership for 14 days.Provides 25% Increased Shiny Chance, 10% experience boost, 5% nature sync boost, premium ATMs, travel Discount & Trade Sponsored icon.
1-Month PBO Membership,1-Month PBO Membership,PBO membership for a month. Provides 25% Increased Shiny Chance, 10% experience boost, 5% nature sync boost, premium ATMs, travel Discount & Trade Sponsored icon.
Surprise Box Bundle,Surprise Box Bundle,Bundle of 10 Surprise boxes.
Mohawk Blue Hair,Mohawk Blue Hair,Blue Mohawk Hair Style
Mohawk Yellow Hair,Mohawk Yellow Hair,Yellow Mohawk Hair Style
Mohawk Light Blue Hair,Mohawk Light Blue Hair,Light Blue Mohawk Hair Style
Mohawk Light Yellow Hair,Mohawk Light Yellow Hair,Light Yellow Mohawk Hair Style
Mohawk Red Hair,Mohawk Red Hair,Red Mohawk Hair Style
Mohawk Light Red Hair,Mohawk Light Red Hair,Light Red Hair Style
Mohawk Purple Hair,Mohawk Purple Hair,Purple Mohawk Hair Style
Mohawk Light Purple Hair,Mohawk Light Purple Hair,Light Purple Hair Style
Mohawk Green Hair,Mohawk Green Hair,Green Mohawk Hair Style
Mohawk Light Green Hair,Mohawk Light Green Hair,Light Green Mohawk Hair Style
Mohawk Orange Hair,Mohawk Orange Hair,Orange Mohawk Hair Style
Mohawk Black Hair,Mohawk Black Hair,Black Mohawk Hair Style
Mystic Gohan Hairstyle,Mystic Gohan Hairstyle,Mystic Gohan Hairstyle
Female Orange Robe,Female Orange Robe,Simple Robe for female characters. Can be wore over Tops.
Female Pink Robe,Female Pink Robe,Simple Robe for female characters. Can be wore over Tops.
Female Purple Robe,Female Purple Robe,Simple Robe for female characters. Can be wore over Tops.
Female Red Robe,Female Red Robe,Simple Robe for female characters. Can be wore over Tops.
Female Yellow Robe,Female Yellow Robe,Simple Robe for female characters. Can be wore over Tops.
Male Blue Robe,Male Blue Robe,Simple Robe for male characters. Can be wore over Tops.
Male Green Robe,Male Green Robe,Simple Robe for male characters. Can be wore over Tops.
Male Orange Robe,Male Orange Robe,Simple Robe for male characters. Can be wore over Tops.
Male Purple Robe,Male Purple Robe,Simple Robe for male characters. Can be wore over Tops.
Male Red Robe,Male Red Robe,Simple Robe for male characters. Can be wore over Tops.
Male Yellow Robe,Male Yellow Robe,Simple Robe for male characters. Can be wore over Tops.
Yellow Top Knot Hair,Yellow Top Knot Hair,Top knot hair style for male characters
Black Top Knot Hair,Black Top Knot Hair,Top knot hair style for male characters
SSJ Gohan Hairstyle,SSJ Gohan Hairstyle,Super Saiyan Gohan Hairstyle
Mega Storage Box Bundle,Mega Storage Box Bundle,A special drive that grants the player access to 10 extra PC storage boxes.
Storage Box Bundle,Storage Box Bundle,A special drive that grants the player access to 5 extra PC storage boxes.
Battle Token,Battle Token,Tokens which can be exchanged for items inside battle tower/frontier.
Go Goggles,Go Goggles,Nifty goggles to protect eyes from desert sandstorms.
Devon Scope,Devon Scope,A special device made by Devon Corporation that signals the presence of any unseen Pokemon.
Seafarer Pass,Seafarer Pass,A ticket that allows the holder to travel aboard the S.S. Seafarer.
1-Hour Global Drop Boost,1-Hour Global Drop Boost,An item, which, when applied, increases the drop rate of items from wild Pokemon by 30% for entire server. This lasts for an hour.
3-Hour Global Exp Boost,3-Hour Global Exp Boost,An item, which, when applied, increases the experience received from wild pokemon by 10% for entire server. This lasts for 3 hours.
3-Hour Global Drop Boost,3-Hour Global Drop Boost,An item, which, when applied, increases the drop rate of items from wild Pokemon by 30% for entire server. This lasts for 3 hours.
Item Bomb,Item Bomb,A box packed by staff of PBO. It will reward 10 random online players from a selection of items chosen by PBO staff. The player who opens the bomb will always be included in the 10 selected players.
Running Shoes,Running Shoes,Allows the player to run when equipped.
Default Shiny Aura,Default Shiny Aura,Default aura for shiny pokemon
Prayer Beads,Prayer Beads,A string of beads used for prayers and rituals at the Amberwick Monastery. There appears to be no distinct quality to them.
Sacred Medallion,Sacred Medallion,A special medallion embossed with the insignia of the Amberwick Monastery. It appears to react when placed close to certain rocks.
Rainbow Shard,Rainbow Shard,An intriguing shard that glows in all seven colors of the rainbow. It appears to be very valuable, and a maniac may pay a high price for it.
Ghostly Seal,Ghostly Seal,A small, dark piece of paper with illegible signs drawn on it. It has an eerie presence.
Mystical Fire Seal,Mystical Fire Seal,A small, red-colored piece of paper. It is surprisingly warm to the touch.
Cursed Sea Seal,Cursed Sea Seal,A small, blue-colored piece of paper. It is surprisingly wet to touch.
Haunted Woods Seal,Haunted Woods Seal,A small, green-colored piece of paper. It has the texture of wood.
Starter Ticket,Starter Ticket,An ID card for new trainers, issued by the Jvaloh league.
Ninja Suit Hoodie,Ninja Suit Hoodie,Hoodie for Ninja Suit
Ninja Suit Torso,Ninja Suit Torso,Torso for Ninja Suit
Ninja Suit Bottoms,Ninja Suit Bottoms,Bottoms for Nina Suit
Wizard's Black Beard,Wizard's Black Beard,Long beard, often grown by Wizards for Male.
Heavy Black Beard,Heavy Black Beard,Heavy Black Beard for Male.
Medium Black Beard,Medium Black Beard,Medium beard for males.
Light Black Beard,Light Black Beard,Light beard for males.
Wizard's Ginger Beard,Wizard's Ginger Beard,Long beard, often grown by Wizards for Male.
Heavy Ginger Beard,Heavy Ginger Beard,Heavy Black Beard for Male.
Medium Ginger Beard,Medium Ginger Beard,Medium beard for males.
Light Ginger Beard,Light Ginger Beard,Light beard for males.
Wizard's Gray Beard,Wizard's Gray Beard,Long beard, often grown by Wizards for Male.
Heavy Gray Beard,Heavy Gray Beard,Heavy Black Beard for Male.
Medium Gray Beard,Medium Gray Beard,Medium beard for males.
Light Gray Beard,Light Gray Beard,Light beard for males.
Wizard's Blonde Beard,Wizard's Blonde Beard,Long beard, often grown by Wizards for Male.
Heavy Blonde Beard,Heavy Blonde Beard,Heavy Black Beard for Male.
Medium Blonde Beard,Medium Blonde Beard,Medium beard for males.
Light Blonde Beard,Light Blonde Beard,Light beard for males.
Maple Leaf Island Pass,Maple Leaf Island Pass,A ticket that allows the holder to travel to Maple Leaf Island.
Haunted Fire Pass,Haunted Fire Pass,Haunted Fire Pass
Haunted Water Pass,Haunted Water Pass,Haunted Water Pass
Haunted Grass Pass,Haunted Grass Pass,Haunted Grass Pass
Flame Essene,Flame Essene,Desc for flame essence.
Floral Essence,Floral Essence,Desc for floral essence.
Liquid Essence,Liquid Essence,Desc for liquid essence
Soul Shard,Soul Shard,A peculiar shard which absorbs light around itself. Its said that it holds a very high value amongst spirits.
Bronze Halloween Chest,Bronze Halloween Chest,Bronze Halloween Chest
Silver Halloween Chest,Silver Halloween Chest,Silver Halloween Chest
Gold Halloween Chest,Gold Halloween Chest,Gold Halloween Chest
Mega Creepy Halloween Box,Mega Creepy Halloween Box,A halloween box which when opened gives you 2 rare item out of a set of 10.
Mini Spooky Halloween Box,Mini Spooky Halloween Box,A halloween box which when opened gives you 1 pretty rare item out of a set of 10.
Mega Spooky Halloween Box,Mega Spooky Halloween Box,A halloween box which when opened gives you 2 pretty rare item out of a set of 10.
Glass Shard,Glass Shard,An item which shines bright like a diamond. Some say it can be used to communicate with spirits.
Fiery Witch Stick Fragment,Fiery Witch Stick Fragment,A fragement which is said to be a part of a magical stick.
Fiery Witch Wand,Fiery Witch Wand,An item which is meant to be powerful enough to release captured souls when used by someone with pure heart.
Male Skeleton Mask,Male Skeleton Mask,Mask for skeleton suit.
Male Skeleton Suit Torso,Male Skeleton Suit Torso,Torso for skeleton suit.
Male Skeleton Suit Bottoms,Male Skeleton Suit Bottoms,Bottoms for skeleton suit.
Male Pumpkin Mask 2017,Male Pumpkin Mask 2017,Pumpkin mask for Halloween Event 2017.
Female Skeleton Mask,Female Skeleton Mask,Mask for skeleton suit.
Female Skeleton Suit Torso,Female Skeleton Suit Torso,Torso for skeleton suit.
Female Skeleton Suit Bottoms,Female Skeleton Suit Bottoms,Bottoms for skeleton suit.
Female Pumpkin Mask 2017,Female Pumpkin Mask 2017,Pumpkin mask for Halloween Event 2017.
Witch Jacket,Witch Jacket,Witch Costume Jacket
Witch Hat,Witch Hat,Witch Costume Hat
Shimigami Mask,Shimigami Mask,Mask of Shimigami Costume
Crew Wars Token,Crew Wars Token,Token which can be exchanged for rare items.
Forest Flute,Forest Flute,Flute which is used to flee away angry pokemon.
Wisdom Shard,Wisdom Shard,An ancient stone which is said to be extremely rare and is dropped by some pokemon only to worthy trainers.
Hydreigon Wings Male,Hydreigon Wings Male,Male Hydreigon Wings
Hydreigon Wings Female,Hydreigon Wings Female,Female Hydreigon Wings
Green Baseball Cap & Hair,Green Baseball Cap & Hair,Green baseball cap with hair.
Red Baseball Cap & Hair,Red Baseball Cap & Hair,Red baseball cap with hair.
Yellow Baseball Cap & Hair,Yellow Baseball Cap & Hair,Yellow baseball cap with hair
SSB Gohan Hairstyle,SSB Gohan Hairstyle,Super Saiyan Blue Gohan Hairstyle
Shiny DNA Fragment,Shiny DNA Fragment,A DNA fragment of some shiny pokemon.
Christmas Present,Christmas Present,A present containing an item chosen by Delibird.
Cogwheel Piece,Cogwheel Piece,A piece of Cogwheel which are generally used inside ships and cable cars.
Marrow Potion,Marrow Potion,A potion which can be used by human to make their bones stronger.
FlashLight,FlashLight,An item which can be useful in exploring caves.
FlashLight Stash,FlashLight Stash,Stash of flash light
Sacred Elixir,Sacred Elixir,A sacred elixir which can be used to heal severly ill pokemon.
Prayer Book,Prayer Book,A book which contains mantra in an ancient language.
CW Warp Trap,CW Warp Trap,An item when used activates warp traps on CW Islands for a limited time period.
CW Block Trap,CW Block Trap,An item when used activates block traps on CW Islands for a limited time period.
CW Trap Disabler,CW Trap Disabler,Disable all the traps on CW islands for a limited time period.
CW Trap Preventor,CW Trap Preventor,Prevents other crews from using traps on CW Islands for a limited time period.
CW Battle Preventor,CW Battle Preventor,Prevents other crews from challenging a crew on CW Islands for a limited time period.
Yellow Shard Box,Yellow Shard Box,A box containing 4 yellow shards.
Red Shard Box,Red Shard Box,A box containing 4 red shards.
Gen VI Red Starter Box,Gen VI Red Starter Box,A box containing Fire starter from Generation 6.
Gen VI Green Starter Box,Gen VI Green Starter Box,A box containing Grass starter from Generation 6.
Gen VI Blue Starter Box,Gen VI Blue Starter Box,A box containing Water starter from Generation 6.
Pokemon Gamble Box,Pokemon Gamble Box,A box containing a few ordinary and 1 ultra rare pokemon with equal chances of spawning one. Remember to carry a pokemon before opening one.
Pokemon Gamble Box Bundle,Pokemon Gamble Box Bundle,A Bundle of 10 Gamble Box.
Lucky Ball,Lucky Ball,A ball with same catch rate as ultra ball. When used makes sure that the pokemon caught is of non-neutral nature.
PBO Trade House Membership,PBO Trade House Membership,PBO Trade House membership for 7 days. Pokemon/Item added in shop will have 48 hour expiry period (double the original expiry) and have a special yellow marker. Pokemon/Item will also appear on top of search results given right search filters. It also Bumps up the weekly counter and maximum number of items/pokemon that can be placed in shop at once.
PBO Trade House Membership Bundle - 1,PBO Trade House Membership Bundle - 1,Contains 2 PBO Trade House Memberships.
PBO Trade House Membership Bundle - 2,PBO Trade House Membership Bundle - 2,Contains 3 PBO Trade House Memberships.
PBO Trade House Membership Bundle - 3,PBO Trade House Membership Bundle - 3,Contains 4 PBO Trade House Memberships.
3-Days PBO Membership,3-Days PBO Membership,PBO membership for 7 days.Provides 25% Increased Shiny Chance, 10% experience boost, 5% nature sync boost, premium ATMs, travel Discount & Trade Sponsored icon.
Egg Shard,Egg Shard,A shard which is highly sought after in easter island.
Bronze Easter Chest,Bronze Easter Chest,Bronze Easter Chest.
Silver Easter Chest,Silver Easter Chest,Silver Easter Chest.
Gold Easter Chest,Gold Easter Chest,Gold Easter Chest.
Egg Shard Box,Egg Shard Box,A box of egg shards.
Fairy Stone,Fairy Stone,A stone which can be used to evolve Eevee to Sylveon
Male Easter Hat 2018 (White-Red),Male Easter Hat 2018 (White-Red),Easter egg hat for Easter Event 2018 (white-red colour).
Female Easter Hat 2018 (White-Red),Female Easter Hat 2018 (White-Red),Easter egg hat for Easter Event 2018.(white-red colour).
Male Easter Hat 2018 (Blue-Green),Male Easter Hat 2018 (Blue-Green),Easter egg hat for Easter Event 2018 (blue-green colour).
Female Easter Hat 2018 (Blue-Green),Female Easter Hat 2018 (Blue-Green),Easter egg hat for Easter Event 2018.(blue-green colour).
Male Bunny Ears,Male Bunny Ears,Male bunny ears
Female Bunny Ears,Female Bunny Ears,Female bunny ears
Ranked Battle Token,Ranked Battle Token,Tokens earned from ranked ladder battles. Can be used at ladder shop.
Female Blue Robe,Female Blue Robe,Simple Robe for female characters. Can be wore over Tops.
Duck Beak (Female),Duck Beak (Female),Beak of a duck.
Bulma Hair,Bulma Hair,Bulma hair.
Bulma Top,Bulma Top,Bulma top
Bulma Skirt,Bulma Skirt,Bulma skirt
Cat Ears (Female),Cat Ears (Female),Female dat ears
Duck Beak (Male),Duck Beak (Male),Beak of a duck.
Furry Bear Mask,Furry Bear Mask,Mask of Furry Bear Costume
Furry Bear Bottoms,Furry Bear Bottoms,Bottoms of furry bear costume
Furry Bear Top,Furry Bear Top,Top of furry bear costume
Furry Bear Shoes,Furry Bear Shoes,Shoes of furry bear costume
Bulma Costume Bundle,Bulma Costume Bundle,Bundle of Bulma hair, top and skirt.
Panda Mask,Panda Mask,Mask of panda costume
Panda Bottoms,Panda Bottoms,Bottoms of panda costume
Panda Top,Panda Top,Top of panda costume.
Panda Shoes,Panda Shoes,Shoes of panda costume.
Panda Costume Bundle (Old),Panda Costume Bundle (Old),Bundle of entire panda outfit.
Joker Mask,Joker Mask,Joker mask.
Hitman Hairstyle,Hitman Hairstyle,Hairstyle of hitman costume
Hitman Bottoms,Hitman Bottoms,Bottoms of hitman costume
Hitman Top,Hitman Top,Top of hitman costume.
Hitman Shoes,Hitman Shoes,Shoes of hitman costume.
Hitman Costume Bundle,Hitman Costume Bundle,Bundle of entire hitman outfit.
Morigan Aensland Wings,Morigan Aensland Wings,Wings of Morigan Aensland costume
Morigan Aensland Bottoms,Morigan Aensland Bottoms,Bottoms of Morigan Aensland costume
Morigan Aensland Top,Morigan Aensland Top,Top of Morigan Aensland costume.
Morigan Aensland Shoes,Morigan Aensland Shoes,Shoes of Morigan Aensland costume.
Morigan Aensland Costume Bundle,Morigan Aensland Costume Bundle,Bundle of entire Morigan Aensland outfit.
Diamond,Diamond,Diamond gemstone, can be exchanged for rewards from gemstone maniacs.
Ruby,Ruby,Ruby gemstone, can be exchanged for rewards from gemstone maniacs.
Sapphire,Sapphire,Sapphire gemstone, can be exchanged for rewards from gemstone maniacs.
Emerald,Emerald,Emerald gemstone, can be exchanged for rewards from gemstone maniacs.
Topaz,Topaz,Topaz gemstone, can be exchanged for rewards from gemstone maniacs.
Gemstone Box,Gemstone Box,Box containing one of the 5 (Topaz, Emerald, Sapphire, Ruby, Diamond) gemstone in increasing order of rarity.
Legendary Orb,Legendary Orb,Very strange and shiny lookin orb. Can be exhanged for Legendary Box from traders.
PBO Anniversary Box,PBO Anniversary Box,A box which holds very rare & legendary trio pokemon boxes. The box gives 1 of these boxes as reward (Each reward has a different rarity).
Grimer-Alola Chest,Grimer-Alola Chest,A box which spawns Grimer-Alola. The Grimer-Alola if defeated drops a Legendary Orb.
Dhelmise Chest,Dhelmise Chest,A box which spawns Dhelmise. The Dhelmise if defeated drops a Legendary Orb.
Litwick Chest,Litwick Chest,A box which spawns Litwick.
Frillish Chest,Frillish Chest,A box which spawns Frillish. The Frillish if defeated drops a Legendary Orb.
Darumaka Chest,Darumaka Chest,A chest which spawns and starts a wild battle with Darumaka.
Mienfoo Chest,Mienfoo Chest,A box which spawns Mienfoo. The Mienfoo if defeated drops a Legendary Orb.
Porygon Chest,Porygon Chest,A chest which spawns Porygon.
Skrelp Box,Skrelp Box,A box which spawns Skrelp. The Skrelp if defeated drops a Legendary Orb.
Bagon Box,Bagon Box,A box which spawns Bagon. The Bagon if defeated drops a Legendary Orb.
Riolu Box,Riolu Box,A box which spawns Riolu. The Riolu if defeated drops a Legendary Orb.
Raikou Box,Raikou Box,A box which spawns Raikou.
Entei Box,Entei Box,A box which spawns Entei.
Suicune Box,Suicune Box,A box which spawns Suicune.
PBO Anni. Tier-1 Box,PBO Anni. Tier-1 Box,A box which contains 6 different tier 1 pokemon box. You have equal probability to get 1 of those. Checkout forums to find out the pokemon in tier 1 category.
Cavewoman Hair,Cavewoman Hair,Cavewoman hair.
Cavewoman Top,Cavewoman Top,Cavewoman top
Cavewoman Skirt,Cavewoman Skirt,Cavewoman skirt
Caveman Hair,Caveman Hair,Caveman hair.
Caveman Top,Caveman Top,Caveman top
Caveman Bottoms,Caveman Bottoms,Caveman bottoms
Caveman Beard,Caveman Beard,Caveman Beard.
Cavewoman Costume Bundle,Cavewoman Costume Bundle,Cavewoman Costume Bundle
Caveman Costume Bundle,Caveman Costume Bundle,Caveman Costume Bundle
Ramon Cave Pass,Ramon Cave Pass,A ticket which can be used to go to Ramon Cave. A cave where spawn change every 24 hours. You can only use this ticket once you have defeated Elite 4.
TM00,TM00,Mega Punch
TM01,TM01,Mega Kick
TM02,TM02,Pay Day
TM03,TM03,Fire Punch
TM04,TM04,Ice Punch
TM05,TM05,Thunder Punch
TM06,TM06,Fly
TM07,TM07,Pin Missile
TM08,TM08,Hyper Beam
TM09,TM09,Giga Impact
TM10,TM10,Magical Leaf
TM11,TM11,Solar Beam
TM12,TM12,Solar Blade
TM13,TM13,Fire Spin
TM14,TM14,Thunder Wave
TM15,TM15,Dig
TM16,TM16,Screech
TM17,TM17,Light Screen
TM18,TM18,Reflect
TM19,TM19,Safeguard
TM20,TM20,Self-Destruct
TM21,TM21,Rest
TM22,TM22,Rock Slide
TM23,TM23,Thief
TM24,TM24,Snore
TM25,TM25,Protect
TM26,TM26,Scary Face
TM27,TM27,Icy Wind
TM28,TM28,Giga Drain
TM29,TM29,Charm
TM30,TM30,Steel Wing
TM31,TM31,Attract
TM32,TM32,Sandstorm
TM33,TM33,Rain Dance
TM34,TM34,Sunny Day
TM35,TM35,Hail
TM36,TM36,Whirlpool
TM37,TM37,Beat Up
TM38,TM38,Will-O-Wisp
TM39,TM39,Facade
TM40,TM40,Swift
TM41,TM41,Helping Hand
TM42,TM42,Revenge
TM43,TM43,Brick Break
TM44,TM44,Imprison
TM45,TM45,Dive
TM46,TM46,Weather Ball
TM47,TM47,Fake Tears
TM48,TM48,Rock Tomb
TM49,TM49,Sand Tomb
TM50,TM50,Bullet Seed
TM51,TM51,Icicle Spear
TM52,TM52,Bounce
TM53,TM53,Mud Shot
TM54,TM54,Rock Blast
TM55,TM55,Brine
TM56,TM56,U-turn
TM57,TM57,Payback
TM58,TM58,Assurance
TM59,TM59,Fling
TM60,TM60,Power Swap
TM61,TM61,Guard Swap
TM62,TM62,Speed Swap
TM63,TM63,Drain Punch
TM64,TM64,Avalanche
TM65,TM65,Shadow Claw
TM66,TM66,Thunder Fang
TM67,TM67,Ice Fang
TM68,TM68,Fire Fang
TM69,TM69,Psycho Cut
TM70,TM70,Trick Room
TM71,TM71,Wonder Room
TM72,TM72,Magic Room
TM73,TM73,Cross Poison
TM74,TM74,Venoshock
TM75,TM75,Low Sweep
TM76,TM76,Round
TM77,TM77,Hex
TM78,TM78,Acrobatics
TM79,TM79,Retaliate
TM80,TM80,Volt Switch
TM81,TM81,Bulldoze
TM82,TM82,Electroweb
TM83,TM83,Razor Shell
TM84,TM84,Tail Slap
TM85,TM85,Snarl
TM86,TM86,Phantom Force
TM87,TM87,Draining Kiss
TM88,TM88,Grassy Terrain
TM89,TM89,Misty Terrain
TM90,TM90,Electric Terrain
TM91,TM91,Psychic Terrain
TM92,TM92,Mystical Fire
TM93,TM93,Eerie Impulse
TM94,TM94,False Swipe
TM95,TM95,Air Slash
TM96,TM96,Smart Strike
TM97,TM97,Brutal Swing
TM98,TM98,Stomping Tantrum
TM99,TM99,Breaking Swipe
TR00,TR00,Swords Dance
TR01,TR01,Body Slam
TR02,TR02,Flamethrower
TR03,TR03,Hydro Pump
TR04,TR04,Surf
TR05,TR05,Ice Beam
TR06,TR06,Blizzard
TR07,TR07,Low Kick
TR08,TR08,Thunderbolt
TR09,TR09,Thunder
TR10,TR10,Earthquake
TR11,TR11,Psychic
TR12,TR12,Agility
TR13,TR13,Focus Energy
TR14,TR14,Metronome
TR15,TR15,Fire Blast
TR16,TR16,Waterfall
TR17,TR17,Amnesia
TR18,TR18,Leech Life
TR19,TR19,Tri Attack
TR20,TR20,Substitute
TR21,TR21,Reversal
TR22,TR22,Sludge Bomb
TR23,TR23,Spikes
TR24,TR24,Outrage
TR25,TR25,Psyshock
TR26,TR26,Endure
TR27,TR27,Sleep Talk
TR28,TR28,Megahorn
TR29,TR29,Baton Pass
TR30,TR30,Encore
TR31,TR31,Iron Tail
TR32,TR32,Crunch
TR33,TR33,Shadow Ball
TR34,TR34,Future Sight
TR35,TR35,Uproar
TR36,TR36,Heat Wave
TR37,TR37,Taunt
TR38,TR38,Trick
TR39,TR39,Superpower
TR40,TR40,Skill Swap
TR41,TR41,Blaze Kick
TR42,TR42,Hyper Voice
TR43,TR43,Overheat
TR44,TR44,Cosmic Power
TR45,TR45,Muddy Water
TR46,TR46,Iron Defense
TR47,TR47,Dragon Claw
TR48,TR48,Bulk Up
TR49,TR49,Calm Mind
TR50,TR50,Leaf Blade
TR51,TR51,Dragon Dance
TR52,TR52,Gyro Ball
TR53,TR53,Close Combat
TR54,TR54,Toxic Spikes
TR55,TR55,Flare Blitz
TR56,TR56,Aura Sphere
TR57,TR57,Poison Jab
TR58,TR58,Dark Pulse
TR59,TR59,Seed Bomb
TR60,TR60,X-Scissor
TR61,TR61,Bug Buzz
TR62,TR62,Dragon Pulse
TR63,TR63,Power Gem
TR64,TR64,Focus Blast
TR65,TR65,Energy Ball
TR66,TR66,Brave Bird
TR67,TR67,Earth Power
TR68,TR68,Nasty Plot
TR69,TR69,Zen Headbutt
TR70,TR70,Flash Cannon
TR71,TR71,Leaf Storm
TR72,TR72,Power Whip
TR73,TR73,Gunk Shot
TR74,TR74,Iron Head
TR75,TR75,Stone Edge
TR76,TR76,Stealth Rock
TR77,TR77,Grass Knot
TR78,TR78,Sludge Wave
TR79,TR79,Heavy Slam
TR80,TR80,Electro Ball
TR81,TR81,Foul Play
TR82,TR82,Stored Power
TR83,TR83,Ally Switch
TR84,TR84,Scald
TR85,TR85,Work Up
TR86,TR86,Wild Charge
TR87,TR87,Drill Run
TR88,TR88,Heat Crash
TR89,TR89,Hurricane
TR90,TR90,Play Rough
TR91,TR91,Venom Drench
TR92,TR92,Dazzling Gleam
TR93,TR93,Darkest Lariat
TR94,TR94,High Horsepower
TR95,TR95,Throat Chop
TR96,TR96,Pollen Puff
TR97,TR97,Psychic Fangs
TR98,TR98,Liquidation
TR99,TR99,Body Press
Parcel,Parcel,A parcel received from Barry's mom. This need to be delivered to Barry.
Vs. Seeker,Vs. Seeker,A device that indicates Trainers who want to battle. The battery charges while traveling.
Coupon,Coupon,A shiny looking coupon.
Poketch,Poketch,A tech item which provides access to various features in PBO.
Sinnoh Map,Sinnoh Map,A map which can be used to navigate Sinnoh.
Works Key,Works Key,A Key which can be used to access unlock the door to the Valley Windworks.
Bicycle,Bicycle,A folding Bicycle that enables much faster movement than the Running walking.
Heavy-Duty Boots,Heavy-Duty Boots,These boots prevent the effects of traps set on the battlefield.
Secret Potion,Secret Potion,A fantastic medicine dispensed by the pharmacy in Cianwood City. It fully heals a Pokémon of any ailment.
Old Charm,Old Charm,An ancient good-luck charm made of Pokémon bones to be taken to the elder of Celestic Town.
Galactic Key,Galactic Key,A card key for disengaging the security systems in the Galactic HQ. Losing it can result in punishment.
Competition Ball,Competition Ball,A quite rare Poke Ball that has been specially crafted for competitions. The Pokemon caught with this Poke Ball are instantly released.
Flying Nimbus,Flying Nimbus,A mount which is said to be constructed in a parallel universe where hybrid apes exist.
Storm Nimbus,Storm Nimbus,A mount which is said to be constructed in a parallel universe where hybrid apes exist.
Bronze Blaze Chest,Bronze Blaze Chest,Bronze Blaze Chest
Silver Blaze Chest,Silver Blaze Chest,Silver Blaze Chest
